state,county_id,county,electric vehicle %
AL,1001,Autauga,0.5294431324750515
AL,1003,Baldwin,1.0526061542920633
AL,1005,Barbour,0.3313906982059193
AL,1007,Bibb,0.27766091712242325
AL,1009,Blount,0.4010966693744923
AL,1011,Bullock,0.21965952773201539
AL,1013,Butler,0.16680169661154265
AL,1015,Calhoun,0.575653642646628
AL,1017,Chambers,0.34239375281573814
AL,1019,Cherokee,0.47904191616766467
AL,1021,Chilton,0.3449781659388646
AL,1023,Choctaw,0.1747459711345544
AL,1025,Clarke,0.2971386647101981
AL,1027,Clay,0.4344048653344917
AL,1029,Cleburne,0.3112972605841068
AL,1031,Coffee,0.5703986849141431
AL,1033,Colbert,0.5107975522176706
AL,1035,Conecuh,0.16604728394085555
AL,1037,Coosa,0.34491907667816396
AL,1039,Covington,0.3646466400416739
AL,1041,Crenshaw,0.20859891065013328
AL,1043,Cullman,0.4810508764814565
AL,1045,Dale,0.5419756878922193
AL,1047,Dallas,0.1808460449756251
AL,1049,DeKalb,0.4750992118942484
AL,1051,Elmore,0.49529584668973403
AL,1053,Escambia,0.2892658900789618
AL,1055,Etowah,0.5020350176624174
AL,1057,Fayette,0.32232070910556004
AL,1059,Franklin,0.3762273269507234
AL,1061,Geneva,0.3796738872504153
AL,1063,Greene,0.22789972412138662
AL,1065,Hale,0.25159342502515936
AL,1067,Henry,0.40193754508914764
AL,1069,Houston,0.6114844106162416
AL,1071,Jackson,0.5400738157315547
AL,1073,Jefferson,0.7570617783286581
AL,1075,Lamar,0.2758101924402933
AL,1077,Lauderdale,0.652360328676718
AL,1079,Lawrence,0.36465036465036466
AL,1081,Lee,0.8877625707337423
AL,1083,Limestone,0.6773567741157644
AL,1085,Lowndes,0.20765114607459467
AL,1087,Macon,0.2890012782748847
AL,1089,Madison,1.1314812796493987
AL,1091,Marengo,0.20952380952380958
AL,1093,Marion,0.38707447727665456
AL,1095,Marshall,0.5481035616765989
AL,1097,Mobile,0.6290730473689329
AL,1099,Monroe,0.27744216225891627
AL,1101,Montgomery,0.5682073193720099
AL,1103,Morgan,0.5457568016867372
AL,1105,Perry,0.2592087312414734
AL,1107,Pickens,0.27672955974842767
AL,1109,Pike,0.3585805622272589
AL,1111,Randolph,0.42799597180261834
AL,1113,Russell,0.5386506967329664
AL,1115,St. Clair,0.5338861351739473
AL,1117,Shelby,1.035096153846154
AL,1119,Sumter,0.17654476670870115
AL,1121,Talladega,0.43042481588060283
AL,1123,Tallapoosa,0.48248576666988324
AL,1125,Tuscaloosa,0.6754642340507189
AL,1127,Walker,0.398797989159435
AL,1129,Washington,0.2243110446485794
AL,1131,Wilcox,0.12578616352201258
AL,1133,Winston,0.4487736997738736
AK,2013,Aleutians East,0.24509803921568626
AK,2016,Aleutians West,0.3304419661296985
AK,2020,Anchorage,0.9658528057805488
AK,2050,Bethel,0.1579778830963665
AK,2060,Bristol Bay,0.12594458438287154
AK,2068,Denali,0.5019720329867337
AK,2070,Dillingham,0.38961038961038963
AK,2090,Fairbanks North Star,0.6756013951768458
AK,2100,Haines,0.672090555359038
AK,2105,Hoonah-Angoon,0.5216095380029807
AK,2110,Juneau,1.6709292412617223
AK,2122,Kenai Peninsula,0.5463892138151819
AK,2130,Ketchikan Gateway,0.5898331393092745
AK,2150,Kodiak Island,0.4883578965727741
AK,2158,Kusilvak,0.0
AK,2164,Lake and Peninsula,0.2724795640326975
AK,2170,Matanuska-Susitna,0.7247305678535158
